,datetime,name,price,quantity
271,2019-08-01 17:34:00,Bombay Aloo,5.95,1
272,2019-08-01 17:34:00,Chicken Tikka Jalfrezi,8.95,1
273,2019-08-01 17:34:00,Mushroom Rice,3.95,1
274,2019-08-01 17:34:00,Plain Papadum,0.8,2
275,2019-08-01 13:33:00,Cauliflower Bhajee,5.95,1
276,2019-08-01 13:33:00,Dhansak - Chicken,8.95,1
277,2019-08-01 13:33:00,Tarka Dall,5.95,2
278,2019-08-01 13:33:00,Saag Dall,5.95,1
279,2019-08-01 12:33:00,Vindaloo - Chicken,7.95,2
280,2019-08-01 12:33:00,Special Fried Rice,3.95,1
281,2019-08-01 12:33:00,Plain Naan,2.6,1
282,2019-08-01 12:33:00,Bombay Aloo,5.95,1
283,2019-07-31 21:10:00,Lamb Biryani,9.95,1
284,2019-07-31 21:10:00,Chicken Biryani,9.95,1
285,2019-07-31 21:10:00,Bombay Aloo,5.95,1
286,2019-07-31 21:10:00,Peshwari Naan,2.95,1
287,2019-07-31 20:35:00,Dhansak - Lamb,8.95,1
288,2019-07-31 20:35:00,Korma - Chicken,8.95,1
289,2019-07-31 20:35:00,Plain Naan,2.6,1
290,2019-07-31 20:35:00,Pilau Rice,2.95,1
291,2019-07-31 20:11:00,Pilau Rice,2.95,2
292,2019-07-31 20:11:00,Chicken Tikka Masala,8.95,2
293,2019-07-31 20:11:00,Madras - Chicken Tikka,7.95,1
294,2019-07-31 20:11:00,Onion Bhajee,3.95,2
295,2019-07-31 20:05:00,Chicken Tikka Jalfrezi,8.95,1
296,2019-07-31 20:05:00,Pilau Rice,2.95,1
297,2019-07-31 20:05:00,Plain Naan,2.6,1
298,2019-07-31 20:05:00,Green Salad,2.95,1
299,2019-07-31 19:54:00,Sheek Kebab,4.95,1
300,2019-07-31 19:54:00,Vegetable Biryani,9.95,1
301,2019-07-31 19:54:00,Aloo Chaat,4.95,1
302,2019-07-31 19:54:00,Madras - King Prawn,11.95,1
303,2019-07-31 19:54:00,Pilau Rice,2.95,2
304,2019-07-31 19:54:00,Butter Chicken,9.95,1
305,2019-07-31 19:54:00,Plain Papadum,0.8,1
306,2019-07-31 19:35:00,Chicken Tikka Masala,8.95,1
307,2019-07-31 19:35:00,Plain Naan,2.6,5
308,2019-07-31 19:35:00,Rogon - Chicken,8.95,1
309,2019-07-31 19:35:00,Chicken Tikka (Main),8.95,1
310,2019-07-31 19:35:00,Madras - Chicken Tikka,7.95,2
311,2019-07-31 19:35:00,Garlic Naan,2.95,1
312,2019-07-31 19:35:00,Bombay Aloo,5.95,1
313,2019-07-31 19:35:00,Saag Aloo,5.95,1
314,2019-07-31 19:35:00,French Fries,3.95,1
315,2019-07-31 19:35:00,Pilau Rice,2.95,2
316,2019-07-31 19:35:00,Onion Bhajee,3.95,3
317,2019-07-31 19:31:00,Plain Papadum,0.8,4
318,2019-07-31 19:31:00,Mint Sauce,0.5,1
